title,url,price,cash_back,points,total,indicator
"UV LED Nail Lamp, Gel Polish Dryer - Honesorn 24W Quick Nail Dryer Light with 3 Timer Setting,Automatic Sensor LCD Display Curing Lamp Nail Art Tools Gel Nail Kit lampara uv para uñas de gel (pink)",https://www.cashbackbase.com/offer/LED-Nail-Lamp-Polish-Dryer/9906,14.99,13.59,272.0,1.4000000000000004,380.80000000000007
Fotoconic DC-38Q Screw Knob Clamp QR Plate for Arca Swiss neewer 38mm QR Plate Tripod Ballhead,https://www.cashbackbase.com/offer/Fotoconic-DC-38Q-neewer-Tripod-Ballhead/5381,14.99,13.59,272.0,1.4000000000000004,380.80000000000007
14x30 in Clear Plastic Office Desk Mat Table Protector PVC Night Sofa Table Tablecloth Cover Children Painting Cover Mat Vinyl Easy Clean Waterproof Heat Resistant Wood Furniture Topper Pad Rectangle,https://www.cashbackbase.com/offer/Protector-Tablecloth-Waterproof-Resistant-Furniture/9198,11.99,10.0,200.0,1.9900000000000002,398.00000000000006
"BRG Airpods Pro Case Cover, [2019 Released] Soft Silicone Skin Cover Shock-Absorbing Protective Case with Keychain for Airpods Pro [Front LED Visible]",https://www.cashbackbase.com/offer/BRG-Released-Silicone-Shock-Absorbing-Protective/10148,4.99,3.99,399.0,1.0,399.0
"Fotoconic Quick Release Clamp 3/8"" w 1/4"" Adapter QR-60 60mm for Arca Swiss Manfrotto Tripod Ball Head",https://www.cashbackbase.com/offer/Fotoconic-Release-Adapter-Manfrotto-Tripod/5382,20.99,19.99,400.0,1.0,400.0
"Meal Prep Containers [15 Pack] 1 Compartment Food Storage Containers with Lids, Bento Box | BPA Free | Stackable | Microwave/Dishwasher/Freezer Safe, Portion Control, 21 Day Fix (28 oz)",https://www.cashbackbase.com/offer/Freshware-Containers-Compartment-Stackable-Dishwasher/6132,11.99,9.99,200.0,2.0,400.0
Grebarley Workout Gloves Weight Lifting Gloves Male Female Gym Gloves for Men Women Training Exercise Fitness Gloves with Wrist Support Full Palm Protection Extra Grip,https://www.cashbackbase.com/offer/grebarley-workout-gloves-weight-lifting-gloves-male-female-gym-gloves-for-men-women-training-exercise-fitness-gloves-with-wrist-support-full-palm-protection-extra-grip/10497,14.97,13.47,269.0,1.5,403.5
Spowind Men's Quick Dry Workout Tank Top - Athletic Running Fitness Gym Training Muscle Sleeveless Shirts,https://www.cashbackbase.com/offer/Spowind-Mens-Quick-Workout-Tank/9738,14.99,13.49,270.0,1.5,405.0
"Reinalin Cycling Gloves, Bike Bicycle Gloves, Gym Gloves, Lightweight, 3MM Gel Pad, Shock-Absorbing, Anti-Slip, Breathable for Biking, MTB, Road Biking, Mountain Bike for Men Women",https://www.cashbackbase.com/offer/reinalin-cycling-gloves-bike-bicycle-gloves-gym-gloves-lightweight-3mm-gel-pad-shock-absorbing-anti-slip-breathable-for-biking-mtb-road-biking-mountain-bike-for-men-women/10499,14.99,13.49,270.0,1.5,405.0
4 Pack Microfiber Replacement Steam Mop Pads Compatible with PurSteam ThermaPro 10-in-1,https://www.cashbackbase.com/offer/4-pack-microfiber-replacement-steam-mop-pads-compatible-with-pursteam-thermapro-10-in-1/9070,14.99,13.49,270.0,1.5,405.0
"Vinyl Fence Hangers Patio Light Hooks 2""X 6"" Powder Coated Rustproof Steel Hangers for Hanging on Top of 2"" Wide Vinyl Fences (6 Pack)",https://www.cashbackbase.com/offer/Hangers-Powder-Coated-Rustproof-Hanging/8459,18.99,17.84,357.0,1.1499999999999986,410.5499999999995
Neck Scarf Face Bandana Mask Gaiter Balaclavas for Outdoor Protection from Sun Dust. Breathable Reusable Washable.,https://www.cashbackbase.com/offer/Balaclavas-Protection-Breathable-Reusable-Washable/9310,10.95,10.5,945.0,0.4499999999999993,425.2499999999993
